release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by
92.3,-1.71,54.0,5.57,14,1,1,1.0,1,2,0.24,0.55,0.84,2.11,0,0,0,0,3,1.0,65.3,-54.0,92.8,2675,6.5,135,-1
93.0,-1.63,53.88,5.62,14,1,1,1.0,1,0,0.44,0.53,0.8,1.1,0,0,0,0,3,0.0,0.0,0.0,94.0,2669,6.6,134,-1
92.3,-1.58,53.86,5.52,9,1,1,1.0,2,2,0.22,0.45,0.72,1.52,0,0,0,2,2,0.0,0.0,0.0,93.1,2662,6.6,142,0
92.1,-1.57,53.75,5.59,14,1,1,1.0,2,1,0.08,0.55,0.96,1.62,0,0,0,2,2,0.0,0.0,0.0,92.9,2664,6.7,157,0
93.2,-1.7,53.84,5.54,14,1,1,0.0,0,0,0.32,0.48,1.58,0.48,0,0,0,2,2,0.0,0.0,0.0,94.1,2564,6.7,152,0
93.0,-1.64,53.88,5.56,14,0,1,0.0,0,1,0.43,0.3,1.23,-0.06,0,0,0,1,2,0.0,0.0,0.0,93.6,2717,6.6,167,0
92.9,-1.52,53.75,5.64,14,1,1,1.0,1,2,0.22,0.71,0.82,1.15,1,0,1,2,1,0.0,0.0,0.0,94.0,2530,6.7,175,-1
93.3,-1.56,53.94,5.65,12,1,1,1.0,1,1,0.42,0.77,1.05,3.16,1,0,1,2,1,0.0,0.0,0.0,94.1,2609,6.6,156,-1
92.5,-1.51,53.78,5.67,12,1,1,0.0,0,1,0.47,0.72,1.76,2.39,1,0,1,2,1,0.0,0.0,0.0,93.4,2535,6.7,161,-1
93.1,-1.57,53.89,5.69,3,1,1,1.0,0,0,0.17,0.76,0.31,2.55,1,0,1,2,1,0.0,0.0,0.0,94.0,2430,6.6,171,-1
93.1,-1.53,53.91,5.66,6,1,1,0.0,2,1,0.24,0.32,0.35,2.5,1,1,1,1,1,337.0,102.6,18.0,94.1,2523,6.6,141,3
92.9,-1.51,53.82,5.62,14,1,1,0.0,0,1,0.15,0.28,1.27,1.4,1,1,1,1,1,0.0,0.0,0.0,93.9,2515,6.7,144,3
92.5,-1.58,53.83,5.62,9,1,1,1.0,0,0,0.2,0.3,0.69,1.69,1,1,1,1,1,0.0,0.0,0.0,93.5,2524,6.7,142,3
91.5,-1.62,53.88,5.7,9,0,1,1.0,3,1,0.31,0.52,0.67,2.08,0,1,1,1,1,116.0,107.2,6.0,92.9,2590,6.6,134,3
92.9,-1.66,53.8,5.61,14,0,1,0.0,0,1,-0.11,0.4,1.51,0.04,0,1,1,1,1,0.0,0.0,0.0,93.4,2568,6.7,172,3
91.5,-1.66,53.94,5.71,14,0,1,1.0,0,0,-0.05,0.52,0.25,1.11,0,1,1,1,1,0.0,0.0,0.0,91.9,2556,6.6,183,3
91.8,-1.53,53.76,5.62,14,1,1,0.0,3,1,-0.13,0.49,0.28,1.36,0,0,1,1,1,0.0,0.0,0.0,92.4,2564,6.7,163,3
91.6,-1.69,53.93,5.66,13,1,1,0.0,1,0,-0.12,0.51,-0.33,1.21,0,0,1,1,1,0.0,0.0,0.0,92.2,2504,6.6,145,3
91.5,-1.39,54.04,5.67,14,0,1,0.0,2,2,0.38,0.45,0.49,1.69,0,1,1,0,6,389.0,104.0,20.0,92.3,2557,6.5,172,3
91.6,-1.57,53.89,5.53,14,0,1,0.0,1,0,0.02,0.45,0.59,0.49,0,1,1,0,6,0.0,0.0,0.0,92.9,2594,6.6,168,3
91.3,-1.28,53.98,5.52,14,1,1,0.0,1,2,0.26,0.44,1.97,-0.07,0,0,1,0,6,0.0,0.0,0.0,92.3,2507,6.5,179,3
89.7,-1.36,53.56,5.61,9,1,1,1.0,1,2,0.34,0.49,0.76,1.93,0,0,1,0,6,4.0,47.5,-29.0,91.2,2438,6.9,174,3
89.4,-1.45,53.97,5.61,14,1,1,1.0,1,2,0.53,0.3,1.02,2.24,0,0,1,0,6,257.0,75.7,34.0,90.0,2464,6.5,155,3
89.7,-1.42,53.98,5.62,6,1,1,1.0,1,1,0.46,0.58,0.82,2.4,0,0,1,0,6,201.0,73.0,25.0,90.9,2491,6.5,148,3
