pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by
FF,98.3,3.03,54.19,5.43,12.0,1,0,1.0,3,2,1.22,1.21,0.94,2.86,0,0,0,1,4,13.0,43.4,-10.0,98.2,2395.0,6.3,132.0,-1
SL,84.1,3.11,54.83,5.17,13.0,1,0,0.0,2,2,-1.22,-0.21,-1.13,0.58,0,0,0,1,4,0.0,0.0,0.0,83.1,2723.0,5.7,285.0,-1
SL,83.3,3.11,54.84,5.24,7.0,1,0,1.0,2,1,-1.17,-0.31,-0.76,2.04,0,0,0,1,4,0.0,0.0,0.0,82.3,2695.0,5.7,291.0,-1
FF,96.3,3.13,54.35,5.21,4.0,1,0,1.0,2,0,1.52,1.03,-0.48,2.64,0,0,0,1,4,0.0,0.0,0.0,95.7,2501.0,6.1,121.0,-1
FF,95.8,3.23,54.47,5.1,13.0,1,0,0.0,1,0,1.5,1.09,-1.11,1.92,0,0,0,1,4,0.0,0.0,0.0,95.0,2491.0,6.0,123.0,-1
CH,92.2,3.32,54.4,4.87,14.0,1,0,0.0,0,0,1.73,0.04,0.71,1.1,0,0,0,1,4,0.0,0.0,0.0,91.9,2144.0,6.1,88.0,-1
FF,99.1,3.02,54.24,5.43,7.0,0,0,1.0,2,2,1.25,1.27,-0.67,1.92,0,0,0,0,4,0.0,0.0,0.0,98.8,2527.0,6.3,133.0,-1
SL,81.5,3.18,54.86,5.13,13.0,0,0,1.0,2,1,-1.38,-0.51,-0.09,1.36,0,0,0,0,4,0.0,0.0,0.0,80.3,2711.0,5.6,296.0,-1
SI,95.2,3.24,54.51,5.02,14.0,0,0,0.0,1,1,1.73,0.36,0.03,1.09,0,0,0,0,4,0.0,0.0,0.0,94.5,2275.0,6.0,98.0,-1
SL,81.8,2.96,54.85,5.16,13.0,0,0,0.0,0,1,-1.25,-0.47,-0.69,1.28,0,0,0,0,4,0.0,0.0,0.0,80.7,2527.0,5.7,296.0,-1
FF,95.6,3.14,54.46,5.17,2.0,0,0,1.0,0,0,1.29,1.02,0.2,2.91,0,0,0,0,4,0.0,0.0,0.0,95.1,2447.0,6.0,125.0,-1
FF,95.4,3.29,54.38,5.01,11.0,0,0,0.0,3,1,0.88,1.02,-0.89,3.51,0,1,0,0,6,0.0,0.0,0.0,94.5,2440.0,6.1,135.0,-3
SL,79.5,3.11,54.84,5.4,13.0,0,0,0.0,2,1,-1.53,-0.16,-1.77,1.07,0,1,0,0,6,0.0,0.0,0.0,78.1,2528.0,5.7,283.0,-3
SL,80.1,3.02,55.16,5.2,13.0,0,0,1.0,2,0,-1.89,-0.4,-1.96,1.53,0,1,0,0,6,0.0,0.0,0.0,78.2,2573.0,5.3,287.0,-3
SI,95.6,3.28,54.35,5.0,12.0,0,0,0.0,1,0,1.74,0.19,1.74,2.79,0,1,0,0,6,0.0,0.0,0.0,94.9,2389.0,6.2,92.0,-3
FF,95.2,3.25,54.4,5.01,12.0,0,0,0.0,0,0,1.19,0.89,1.14,3.81,0,1,0,0,6,0.0,0.0,0.0,94.4,2163.0,6.1,122.0,-3
FF,92.4,3.12,54.05,5.09,5.0,1,0,0.0,3,2,0.99,0.71,0.23,2.49,0,0,0,0,6,198.0,107.2,10.0,92.3,2341.0,6.5,121.0,-3
FF,93.8,3.13,54.61,5.19,13.0,1,0,0.0,2,2,1.08,0.72,-1.47,1.77,0,0,0,0,6,0.0,0.0,0.0,92.6,2421.0,5.9,119.0,-3
CH,89.4,3.09,54.61,5.03,8.0,1,0,1.0,2,1,1.31,0.01,0.02,1.44,0,0,0,0,6,0.0,0.0,0.0,88.3,2057.0,5.9,84.0,-3
FF,92.4,3.07,54.73,5.24,11.0,1,0,0.0,1,1,0.9,0.97,-0.49,3.51,0,0,0,0,6,0.0,0.0,0.0,91.0,2364.0,5.8,133.0,-3
FF,92.9,3.05,54.62,5.35,11.0,1,0,0.0,0,1,0.94,1.13,-0.87,2.82,0,0,0,0,6,0.0,0.0,0.0,91.5,2363.0,5.9,136.0,-3
SI,87.7,3.18,54.24,5.1,9.0,1,0,1.0,0,0,1.38,0.61,0.45,1.86,0,0,0,0,6,0.0,0.0,0.0,87.0,2058.0,6.3,108.0,-3
FF,92.9,3.06,54.23,5.13,3.0,1,0,0.0,0,2,0.79,0.85,0.34,3.53,0,0,0,2,5,11.0,101.8,-17.0,92.1,2317.0,6.3,132.0,-3
FF,94.8,3.3,54.4,5.24,2.0,1,0,1.0,0,1,0.97,1.19,0.01,3.49,0,0,0,2,5,197.0,71.3,41.0,94.1,2376.0,6.1,138.0,-3
SL,80.6,2.99,54.89,5.31,14.0,1,0,1.0,0,0,-1.19,-0.71,0.87,2.37,0,0,0,2,5,0.0,0.0,0.0,79.4,2377.0,5.6,306.0,-3
SI,95.6,3.21,54.53,5.14,5.0,1,0,0.0,0,0,1.33,0.33,-0.19,2.28,0,0,0,2,5,415.0,108.5,23.0,94.5,2348.0,6.0,99.0,-2
FF,88.8,3.18,54.35,5.09,9.0,1,0,1.0,3,2,1.42,0.66,0.45,1.73,0,0,0,1,5,0.0,0.0,0.0,87.8,2043.0,6.1,109.0,-2
FF,95.6,3.13,54.33,5.06,3.0,1,0,1.0,3,1,1.27,0.71,0.6,3.11,0,0,0,1,5,184.0,79.7,68.0,94.8,2276.0,6.2,115.0,-2
SI,96.2,3.12,54.4,5.12,6.0,1,0,1.0,3,0,1.57,0.28,0.76,2.39,0,0,0,1,5,0.0,0.0,0.0,95.1,2211.0,6.1,96.0,-2
CH,88.4,3.11,54.2,4.89,12.0,1,0,0.0,2,0,1.6,-0.14,2.53,2.64,0,0,0,1,5,0.0,0.0,0.0,88.0,2049.0,6.3,80.0,-2
CH,86.6,3.24,54.55,4.96,12.0,1,0,0.0,1,0,1.65,0.4,1.84,2.41,0,0,0,1,5,0.0,0.0,0.0,85.4,2150.0,6.0,98.0,-2
CH,89.2,3.29,54.39,4.99,14.0,1,0,0.0,0,0,1.61,0.0,1.76,2.19,0,0,0,1,5,0.0,0.0,0.0,88.6,2112.0,6.1,85.0,-2
SI,94.2,3.15,54.55,5.13,12.0,1,0,1.0,1,2,1.25,0.55,1.25,3.61,0,0,0,0,5,0.0,0.0,0.0,93.1,2348.0,6.0,109.0,-2
SL,80.1,2.91,54.76,5.12,13.0,1,0,0.0,0,2,-1.06,-0.33,-0.79,0.83,0,0,0,0,5,0.0,0.0,0.0,79.0,2299.0,5.7,295.0,-2
FF,92.1,3.21,54.32,5.12,2.0,1,0,1.0,0,1,0.81,0.77,-0.27,3.23,0,0,0,0,5,0.0,0.0,0.0,91.5,2306.0,6.2,128.0,-2
SL,81.0,3.0,55.06,5.43,14.0,1,0,1.0,0,0,-1.49,-0.24,0.85,2.66,0,0,0,0,5,0.0,0.0,0.0,79.1,2531.0,5.4,286.0,-2
FF,95.4,3.13,54.3,5.11,6.0,0,0,0.0,0,0,1.18,0.82,0.3,2.65,0,1,0,2,4,185.0,67.6,53.0,94.3,2411.0,6.2,121.0,-2
FF,97.6,3.12,54.15,5.21,6.0,1,0,0.0,1,1,1.02,0.97,0.43,2.74,0,1,1,2,4,386.0,100.0,24.0,97.2,2416.0,6.4,130.0,0
SL,83.0,3.15,54.66,5.25,7.0,1,0,1.0,1,0,-1.58,-0.09,-0.68,2.14,0,1,1,2,4,0.0,0.0,0.0,81.9,2522.0,5.8,278.0,0
CH,89.1,3.17,54.65,5.09,13.0,1,0,0.0,0,0,1.38,0.24,-0.42,1.44,0,1,1,2,4,0.0,0.0,0.0,87.9,1963.0,5.9,94.0,0
FF,97.3,2.76,54.13,5.65,1.0,1,0,0.0,1,2,0.82,1.1,-0.52,2.83,0,1,1,1,4,257.0,89.5,51.0,96.6,2457.0,6.4,140.0,0
FF,97.6,3.23,54.21,5.13,2.0,1,0,1.0,1,1,0.77,1.17,-0.02,3.39,0,1,1,1,4,176.0,72.7,64.0,96.7,2420.0,6.3,143.0,0
SI,89.1,3.21,54.34,4.95,5.0,1,0,1.0,1,0,1.18,0.34,0.08,2.79,0,1,1,1,4,0.0,0.0,0.0,88.5,1863.0,6.2,100.0,0
FF,88.2,3.23,54.53,5.1,14.0,1,0,0.0,0,0,1.39,0.67,1.07,1.67,0,1,1,1,4,0.0,0.0,0.0,87.0,2077.0,6.0,110.0,0
SI,96.2,3.22,54.12,5.02,9.0,0,0,0.0,0,1,1.23,0.34,0.32,1.94,0,1,0,1,4,299.0,91.5,17.0,96.0,2307.0,6.4,101.0,0
SL,81.4,3.0,54.7,5.14,5.0,0,0,1.0,0,0,-1.27,-0.22,-0.02,2.71,0,1,0,1,4,0.0,0.0,0.0,80.5,2556.0,5.8,287.0,0
SL,81.0,3.02,54.55,5.28,7.0,1,0,0.0,3,2,-1.57,-0.51,-0.37,1.55,0,0,0,1,4,337.0,98.3,20.0,80.1,2668.0,6.0,293.0,0
CH,87.1,3.25,54.64,4.87,14.0,1,0,0.0,2,2,1.4,0.01,1.35,1.44,0,0,0,1,4,0.0,0.0,0.0,86.0,1904.0,5.9,84.0,0
SL,81.4,2.93,54.83,5.24,13.0,1,0,0.0,1,2,-1.79,-0.16,-0.46,0.6,0,0,0,1,4,0.0,0.0,0.0,80.1,2544.0,5.7,280.0,0
SL,80.5,3.01,54.81,5.09,13.0,1,0,0.0,0,2,-1.4,-0.5,-0.07,0.45,0,0,0,1,4,0.0,0.0,0.0,79.1,2535.0,5.7,296.0,0
SL,81.1,3.13,54.98,5.31,6.0,1,0,1.0,0,1,-1.03,-0.04,0.31,2.39,0,0,0,1,4,0.0,0.0,0.0,79.6,2533.0,5.5,282.0,0
FF,93.0,3.17,54.63,5.33,2.0,1,0,1.0,0,0,0.91,1.04,0.11,3.14,0,0,0,1,4,0.0,0.0,0.0,91.4,2333.0,5.9,135.0,0
FF,93.0,2.94,54.04,5.35,4.0,1,0,0.0,2,1,0.61,1.2,-0.74,2.92,0,0,0,0,4,155.0,57.6,51.0,92.7,2188.0,6.5,151.0,0
SI,93.8,3.17,54.29,5.06,14.0,1,0,0.0,1,1,1.44,0.22,1.44,1.95,0,0,0,0,4,0.0,0.0,0.0,93.3,2163.0,6.2,94.0,0
FF,92.4,3.05,54.13,5.18,11.0,1,0,0.0,0,1,0.83,0.88,-0.93,3.55,0,0,0,0,4,0.0,0.0,0.0,91.9,2242.0,6.4,132.0,0
SL,80.5,3.07,54.88,5.36,6.0,1,0,1.0,0,0,-1.15,0.0,0.63,2.4,0,0,0,0,4,0.0,0.0,0.0,79.0,2528.0,5.6,279.0,0
SI,92.4,3.02,54.21,5.09,4.0,1,0,0.0,2,1,1.24,0.05,-0.49,1.86,0,0,1,1,3,28.0,102.2,-1.0,91.6,2032.0,6.3,87.0,-1
SI,90.4,3.25,54.43,5.06,9.0,1,0,0.0,1,1,1.23,0.12,0.44,1.24,0,0,1,1,3,0.0,0.0,0.0,89.2,1835.0,6.1,89.0,-1
SL,81.9,3.03,54.53,5.24,13.0,1,0,0.0,0,1,-1.33,-0.28,-0.93,-0.1,0,0,1,1,3,0.0,0.0,0.0,81.0,2637.0,6.0,288.0,-1
SL,81.9,3.04,54.79,5.26,4.0,1,0,1.0,0,0,-1.54,-0.27,-0.46,1.87,0,0,1,1,3,0.0,0.0,0.0,80.3,2495.0,5.7,286.0,-1
FF,94.2,3.16,54.6,5.21,3.0,1,0,0.0,0,0,1.27,0.63,0.59,2.94,0,0,0,1,3,83.0,90.8,4.0,92.7,2307.0,5.9,112.0,-1
FF,94.3,3.07,54.22,5.52,1.0,1,0,1.0,1,2,0.83,1.24,-0.57,3.04,0,0,0,0,3,0.0,0.0,0.0,93.4,2359.0,6.3,143.0,-1
FF,93.3,3.11,54.33,5.48,12.0,1,0,0.0,0,2,0.88,1.15,0.93,4.27,0,0,0,0,3,0.0,0.0,0.0,92.5,2341.0,6.2,139.0,-1
FF,92.9,3.12,54.19,5.34,2.0,1,0,1.0,0,1,0.93,1.23,-0.09,3.54,0,0,0,0,3,0.0,0.0,0.0,92.1,2319.0,6.3,139.0,-1
CH,87.1,3.35,54.7,5.12,14.0,1,0,1.0,0,0,1.44,0.57,0.95,2.2,0,0,0,0,3,0.0,0.0,0.0,85.6,2065.0,5.8,106.0,-1
FF,98.7,3.16,54.12,5.32,3.0,0,0,1.0,3,2,0.85,1.26,0.8,3.48,0,1,0,2,2,0.0,0.0,0.0,98.1,2384.0,6.4,143.0,-1
SL,81.1,3.06,54.7,5.24,4.0,0,0,1.0,3,2,-1.67,-0.27,-0.48,2.35,0,1,0,2,2,156.0,69.0,67.0,80.1,2409.0,5.8,284.0,-1
SI,96.8,3.23,54.31,5.09,6.0,0,0,1.0,3,2,1.41,0.32,0.38,2.68,0,1,0,2,2,7.0,87.1,-20.0,96.1,2283.0,6.2,98.0,-1
SI,96.2,3.19,54.1,4.98,13.0,0,0,0.0,2,2,1.48,0.12,-0.62,0.95,0,0,1,2,2,0.0,0.0,0.0,96.1,2172.0,6.4,91.0,-1
SL,81.8,2.99,54.82,5.3,13.0,0,0,0.0,1,2,-2.07,-0.3,-1.55,0.93,0,0,1,2,2,0.0,0.0,0.0,80.3,2515.0,5.7,283.0,-1
SI,96.0,3.05,54.28,5.05,14.0,0,0,1.0,1,1,1.42,0.12,0.92,2.15,0,0,1,2,2,0.0,0.0,0.0,95.7,2157.0,6.2,90.0,-1
SI,94.3,3.19,54.21,5.07,14.0,0,0,0.0,0,1,1.4,0.36,0.49,1.3,0,0,1,2,2,0.0,0.0,0.0,94.0,2187.0,6.3,100.0,-1
SL,81.6,2.98,54.75,5.25,6.0,0,0,1.0,0,0,-1.33,-0.25,0.37,2.22,0,0,1,2,2,0.0,0.0,0.0,80.7,2385.0,5.7,287.0,-1
SL,82.3,3.17,54.67,5.37,8.0,1,0,1.0,0,2,-1.51,-0.35,-0.01,1.76,0,0,1,1,2,0.0,0.0,0.0,81.1,2440.0,5.8,289.0,-1
SL,82.8,2.96,54.64,5.28,13.0,1,0,1.0,0,1,-1.12,0.19,-0.04,1.31,0,0,1,1,2,0.0,0.0,0.0,81.8,2558.0,5.9,268.0,-1
SL,81.9,3.1,54.64,5.23,8.0,1,0,1.0,0,0,-1.11,-0.22,0.05,2.03,0,0,1,1,2,0.0,0.0,0.0,80.8,2554.0,5.9,289.0,-1
SI,89.2,3.0,54.29,4.94,12.0,1,0,0.0,3,2,1.28,0.33,1.31,3.05,0,0,1,0,2,374.0,95.7,28.0,88.7,2112.0,6.2,99.0,-1
SI,90.8,3.06,53.94,5.07,8.0,1,0,0.0,2,2,1.21,0.26,-0.13,1.49,0,0,1,0,2,0.0,0.0,0.0,90.8,1821.0,6.6,96.0,-1
