pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by
CH,86.2,3.0,54.14,5.02,14.0,1,0,0.0,0,0,1.62,-0.36,0.75,1.03,1,0,0,2,5,0.0,0.0,0.0,85.9,1955.0,6.4,97.0,9
FF,91.3,2.93,54.21,5.57,12.0,1,0,0.0,0,0,1.09,1.05,1.32,3.62,0,1,0,1,5,0.0,0.0,0.0,91.1,2284.0,6.3,117.0,9
FF,94.5,3.05,54.38,5.3,3.0,0,0,1.0,0,0,1.27,0.92,0.32,2.96,0,0,1,0,5,0.0,0.0,0.0,94.0,2371.0,6.1,110.0,9
SL,73.8,3.03,54.57,5.36,14.0,1,0,0.0,0,0,-1.14,-0.5,1.38,2.35,0,0,0,0,5,0.0,0.0,0.0,73.2,2153.0,5.9,305.0,9
FF,93.2,2.92,54.34,5.48,2.0,1,0,1.0,0,0,1.41,0.93,0.16,3.18,0,1,1,2,4,187.0,75.8,19.0,92.9,2315.0,6.2,124.0,8
SL,76.0,3.19,54.65,5.26,11.0,0,0,0.0,0,0,-1.2,-0.32,-0.97,2.69,0,0,1,2,4,0.0,0.0,0.0,75.4,2423.0,5.9,306.0,8
CH,87.5,3.13,54.15,5.09,5.0,1,0,1.0,0,0,1.4,0.11,-0.22,2.41,0,0,1,1,4,0.0,0.0,0.0,87.8,2094.0,6.3,103.0,8
SL,78.1,3.09,54.61,5.27,4.0,1,0,1.0,0,0,-1.52,-0.42,-0.63,2.54,0,0,1,0,4,0.0,0.0,0.0,77.1,2361.0,5.9,325.0,8
CH,83.3,3.01,54.3,5.15,5.0,1,0,1.0,0,0,1.47,0.16,0.12,2.66,0,0,0,0,4,0.0,0.0,0.0,83.4,1979.0,6.2,102.0,8
FF,93.4,2.85,54.24,5.6,12.0,1,0,1.0,0,0,1.17,0.99,0.3,3.45,0,1,1,1,3,250.0,74.3,41.0,93.3,2430.0,6.3,128.0,5
CH,87.2,3.03,54.1,5.16,5.0,1,0,1.0,0,0,1.55,0.27,0.25,2.53,0,1,1,0,3,171.0,76.0,70.0,87.4,1948.0,6.4,100.0,5
