executed,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
1,SL,2022-09-30,92.6,-1.38,5.91,"deGrom, Jacob",592696,594798,,swinging_strike,,,,,9,Eddie Rosario strikes out swinging.,R,L,R,ATL,NYM,S,,,3,1,2022,0.34,0.44,0.72,1.49,,,,2,2,Bot,,,,,621512,,,4.6539546552751100,-134.94169593546300,-6.615066132931280,3.4537724891768200,23.788055666729100,-25.65493896699390,3.28,1.6,,,,93.9,2653,6.5,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.96,,,,,,,,17,5,Slider,2,1,2,1,1,2,2,1,Strategic,Standard,170,0,-0.036
0,SL,2022-09-30,91.8,-1.29,5.88,"deGrom, Jacob",592696,594798,,ball,,,,,14,Eddie Rosario strikes out swinging.,R,L,R,ATL,NYM,B,,,1,1,2022,0.51,0.2,1.65,2.06,,,,2,2,Bot,,,,,621512,,,6.399884336654910,-133.7000358201040,-4.337739849932070,4.893279639894280,25.722476719599700,-29.139586963690500,3.31,1.65,,,,92.9,2632,6.7,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.83,,,,,,,,17,3,Slider,2,1,2,1,1,2,2,1,Strategic,Standard,146,0,0.021
0,SL,2022-09-30,93.6,-1.43,5.86,"deGrom, Jacob",592696,594798,,foul,,,,,1,Eddie Rosario strikes out swinging.,R,L,R,ATL,NYM,S,,,0,0,2022,0.25,0.54,-0.77,3.22,,,,2,2,Bot,,,,,621512,,,1.1790757801822100,-136.48300690508900,-2.3625335562134500,2.9213429934973900,25.48878166051020,-25.109155221196100,3.28,1.6,252,76.2,37,94.7,2498,6.5,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.99,,,,,,,,17,1,Slider,2,1,2,1,1,2,2,1,Strategic,Standard,177,0,-0.017
1,SL,2022-09-30,93.8,-1.42,5.83,"deGrom, Jacob",661388,594798,field_out,hit_into_play,,,,,14,"William Contreras grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",R,R,R,ATL,NYM,X,6,ground_ball,0,2,2022,0.42,0.3,1.32,2.12,,,,1,2,Bot,107.03,151.07,,,621512,,,6.170678212190840,-136.4548129305360,-4.543712651657060,3.9102946104060300,29.584004358907100,-27.57367509652830,3.6,1.71,5,75.7,-24,94.3,2652,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.93,0.023,0.021,0,1,0,0,2,16,3,Slider,2,1,2,1,1,2,2,1,Standard,Standard,170,-0.014,-0.1
0,SL,2022-09-30,93.2,-1.33,5.89,"deGrom, Jacob",621566,594798,,ball,,,,,14,Matt Olson homers (31) on a fly ball to center field.,R,L,R,ATL,NYM,B,,,1,1,2022,0.39,0.5,1.62,1.61,,,,0,2,Bot,,,,,621512,,,6.755119740676440,-135.54613639399400,-6.4240988820411600,3.543371130002030,26.31095053713320,-24.809555278931800,3.53,1.8,,,,94.1,2779,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.9,,,,,,,,14,3,Slider,1,1,1,1,1,1,1,1,Infield shift,Standard,155,0,0.049
0,SL,2022-09-30,93.4,-1.49,5.88,"deGrom, Jacob",663586,594798,home_run,hit_into_play,,,,,5,Austin Riley homers (38) on a fly ball to center field.,R,R,R,ATL,NYM,X,,fly_ball,1,0,2022,0.33,0.65,0.11,2.75,,,,0,2,Bot,114.73,28.6,,,621512,,,3.4107995240810700,-136.1701700341450,-3.8543804448944200,3.4928136938120600,25.71665156321880,-23.504053375477500,3.5,1.6,422,105.3,23,94.5,2564,6.5,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.96,0.803,1.382,2,1,0,3,6,13,2,Slider,0,1,0,1,1,1,1,1,Standard,Standard,200,0.113,0.967
1,SL,2022-09-30,92.9,-1.38,5.87,"deGrom, Jacob",671739,594798,strikeout,swinging_strike_blocked,,,,,14,Michael Harris II strikes out swinging.,R,L,R,ATL,NYM,S,2,,2,2,2022,0.33,0.36,0.58,0.31,,,,2,1,Bot,,,,,621512,,,4.304428547755690,-135.0278893339650,-9.287252261534730,3.2578151224625100,26.961307794830300,-26.102780357304000,3.53,1.59,,,,93.5,2675,6.5,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.97,,,0,1,0,0,,7,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,176,-0.01,-0.083
1,SL,2022-09-30,93.5,-1.43,5.91,"deGrom, Jacob",671739,594798,,foul,,,,,3,Michael Harris II strikes out swinging.,R,L,R,ATL,NYM,S,,,2,1,2022,0.43,0.67,0.34,3.1,,,,2,1,Bot,,,,,621512,,,3.651635742416600,-136.25780275840100,-3.0372498941582800,4.64488022703816,28.13072490881120,-23.35299414585700,3.53,1.59,,,,94.3,2698,6.5,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.95,,,,,,,,7,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,178,0,-0.031
1,SL,2022-09-30,93.8,-1.36,5.88,"deGrom, Jacob",621020,594798,strikeout,swinging_strike,,,,,14,Dansby Swanson strikes out swinging.,R,R,R,ATL,NYM,S,2,,1,2,2022,0.32,0.48,1.51,0.95,,,,1,1,Bot,,,,,621512,,,6.741729462545160,-136.39246160644500,-8.131706006341220,2.6853781132246100,28.125657400909800,-24.667414308865500,3.54,1.67,,,,94.5,2564,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.89,,,0,1,0,0,,6,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,197,-0.016,-0.112
0,SL,2022-09-24,92.4,-1.57,5.67,"deGrom, Jacob",664913,594798,field_out,hit_into_play,,,,,5,Seth Brown lines out sharply to first baseman Pete Alonso.,R,L,R,OAK,NYM,X,3,line_drive,3,2,2022,0.26,0.69,0.13,2.24,605353,669221,,2,4,Bot,156.73,159.25,,,621512,,,3.785238421702560,-134.61406049567600,-4.515475912105700,2.418091767192630,27.317600634493800,-22.95967727457310,3.37,1.66,144,107.9,7,93.5,2655,6.7,662311,594798,621512,624413,641645,500871,596019,643446,592192,573131,53.77,0.663,0.624,0,1,0,0,4,39,6,Slider,5,4,5,4,4,5,5,4,Standard,Standard,188,-0.054,-0.468
