,pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by,count
3080,CH,86.9,3.36,54.54,5.13,14.0,0,0,1.0,1,1,1.71,0.47,0.71,0.77,0,0,0,1,2,0.0,0.0,0.0,85.7,2171.0,6.0,101.0,0,1-1
3096,FF,95.0,3.25,54.6,5.55,5.0,1,0,1.0,1,1,1.16,1.17,0.18,3.01,0,0,0,0,1,188.0,74.0,33.0,93.9,2505.0,5.9,132.0,0,1-1
3101,FF,95.1,3.15,54.2,5.47,12.0,1,0,1.0,1,1,1.35,1.15,1.15,3.1,0,0,1,0,9,171.0,76.7,20.0,94.6,2308.0,6.3,127.0,-1,1-1
3105,SL,79.2,3.11,55.1,5.6,13.0,0,0,0.0,1,1,-1.35,-0.09,-1.06,1.68,0,0,0,2,8,0.0,82.9,-21.0,77.3,2549.0,5.4,281.0,-1,1-1
3115,SL,78.2,3.15,54.99,5.43,8.0,1,0,1.0,1,1,-1.2,0.04,0.26,2.39,0,0,1,2,7,0.0,0.0,0.0,76.9,2205.0,5.5,277.0,-1,1-1
3123,FF,95.2,3.16,54.33,5.54,12.0,1,0,0.0,1,1,1.43,1.16,0.81,5.28,0,0,0,1,7,0.0,0.0,0.0,94.1,2330.0,6.2,125.0,-1,1-1
3134,FF,93.1,3.13,54.44,5.44,2.0,1,0,1.0,1,1,1.17,1.4,-0.21,3.13,1,0,0,2,6,0.0,0.0,0.0,92.2,2211.0,6.1,137.0,-1,1-1
3162,SL,80.7,3.02,55.36,5.61,7.0,1,0,1.0,1,1,-1.01,-0.05,-0.54,1.77,0,1,0,1,4,0.0,0.0,0.0,78.7,2492.0,5.1,282.0,0,1-1
3177,FF,96.6,3.2,54.38,5.56,6.0,1,0,1.0,1,1,1.4,1.52,0.31,3.0,0,0,0,1,3,0.0,0.0,0.0,96.0,2420.0,6.1,135.0,0,1-1
3186,SL,78.6,3.25,55.25,5.51,14.0,1,0,0.0,1,1,-1.6,-0.11,1.3,2.84,0,0,0,2,2,0.0,0.0,0.0,77.0,2331.0,5.2,280.0,0,1-1
3189,FF,94.5,3.16,53.93,5.49,9.0,1,0,0.0,1,1,1.29,1.14,0.3,2.22,0,0,0,1,2,44.0,105.2,0.0,94.6,2282.0,6.6,129.0,0,1-1
3202,FF,96.7,3.18,54.23,5.55,3.0,1,0,1.0,1,1,1.36,1.4,0.33,3.3,0,0,0,1,1,0.0,0.0,0.0,96.0,2428.0,6.3,133.0,0,1-1
3209,FF,92.9,3.27,54.07,5.38,3.0,1,0,1.0,1,1,1.03,0.93,0.3,3.1,0,0,1,2,8,0.0,0.0,0.0,92.1,2302.0,6.4,127.0,0,1-1
3212,CH,87.3,3.68,54.76,5.15,14.0,1,0,0.0,1,1,1.5,0.42,1.13,2.11,0,0,0,2,8,221.0,79.8,15.0,85.3,1965.0,5.7,100.0,0,1-1
3225,SL,76.9,3.53,55.25,5.5,9.0,1,0,1.0,1,1,-1.51,-0.52,0.39,2.12,0,0,0,1,7,0.0,0.0,0.0,74.8,2400.0,5.3,296.0,0,1-1
3234,FF,95.3,3.48,54.37,5.44,5.0,1,0,0.0,1,1,0.99,0.85,-0.22,2.57,0,0,0,1,6,25.0,108.0,-4.0,94.7,2365.0,6.1,127.0,0,1-1
3239,FF,92.5,3.49,54.4,5.55,4.0,1,0,1.0,1,1,1.14,1.2,-0.33,3.09,0,0,0,0,6,0.0,0.0,0.0,91.7,2350.0,6.1,133.0,0,1-1
3245,FF,92.6,3.23,54.34,5.36,1.0,1,0,1.0,1,1,1.12,1.22,-0.3,3.33,0,0,0,2,5,0.0,0.0,0.0,91.4,2264.0,6.2,131.0,0,1-1
