"","Plate X","Plate Y"
"402",-0.36,15.12
"403",14.88,38.28
"404",9.84,18
"405",5.88,23.52
"406",-19.08,18.12
"407",-18.24,2.52
"408",9,30.24
"409",14.04,33.6
"410",-24.36,1.56
"411",0.84,38.04
"412",21.12,35.04
"413",-0.12,22.2
"414",0.96,36
"415",-3.6,41.64
"416",3.96,44.16
"417",2.52,31.32
"418",-7.92,24.6
"419",-1.08,44.28
"420",-3.24,7.8
"421",5.4,24.72
"422",-20.4,14.88
"423",0.36,40.68
"424",-7.08,37.92
"425",7.68,41.28
"426",12.6,46.08
"427",-8.64,17.04
"428",-12,18.96
"429",11.64,30.48
"430",17.88,25.56
"431",1.32,29.76
"432",-7.44,32.88
"433",0.36,35.76
"434",3.36,23.76
"435",0.72,47.16
"436",-3.48,3.72
"437",-11.76,15.84
"438",0.6,11.16
"439",-7.68,26.4
"440",-11.4,10.92
"441",6.84,38.4
"442",2.16,36.72
"443",6.24,45.24
"444",-17.52,13.44
"445",-2.88,11.4
"446",-13.8,24.36
"447",-7.44,33.24
"448",-6.36,4.2
"449",5.76,44.28
"450",-3.6,2.76
"451",9.6,22.92
"452",-5.64,20.4
"453",-9.24,25.56
"454",-8.28,17.64
"455",-1.92,26.16
"456",4.92,39.6
"457",4.68,38.64
"458",1.68,44.28
"459",8.64,21.36
"460",-9.6,21.96
"461",7.08,12
"462",5.52,25.68
"463",-18.6,18
"464",-7.8,21.36
"465",-21.84,9.36
"466",-9,19.68
"467",13.08,8.88
"468",12.24,24.12
"469",-0.24,23.52
"470",1.2,15.72
"471",-9.36,20.4
"472",6.84,25.8
"473",4.2,21.24
"474",-10.2,18.24
"475",1.32,45.6
"476",-12.12,20.4
"477",8.64,30.96
"478",1.32,43.08
"479",-3.12,8.4
"480",-7.8,36.96
"481",-3.36,35.52
"482",-5.28,36.12
"483",4.44,44.16
"484",0.84,28.08
"485",2.16,48.84
"486",-1.68,38.16
"487",7.8,33
"488",-4.68,21.72
"489",-12.6,23.16
"490",-18.84,-10.8
"491",14.4,33.96
"492",11.4,14.52
"493",8.76,46.32
"494",-21.24,19.44
"495",1.68,54.24
"496",-14.76,2.16
"497",1.8,43.68
"498",-8.16,36.36
"499",9.36,39.36
"500",10.32,52.32
"501",-4.92,33.84
"502",6.72,32.52
"503",-4.08,22.32
"504",1.92,45.96
"505",3.84,41.52
"506",-9.84,35.16
"507",-11.04,22.68
"508",1.56,40.32
"509",-7.44,20.28
"510",12.6,21.72
"511",-4.68,36.72
"512",-1.32,27.96
"513",3.36,29.4
"514",8.4,14.52
"515",7.92,23.88
"516",-4.32,35.04
"517",-17.88,15.24
"518",-7.44,13.92
"519",-8.28,31.68
"520",-4.56,14.88
"521",10.2,23.76
"522",-11.04,32.52
"523",-18.48,6.12
"524",-5.28,42
"525",1.92,27.96
"526",-4.8,47.28
"527",3.24,34.2
"528",15,25.68
"529",-8.4,21
"530",-9.84,34.92
"531",3.12,26.52
"532",0,53.04
"533",5.16,44.52
"534",-4.8,16.92
"535",18.96,36.48
"536",13.2,19.32
"537",-3.6,31.44
"538",8.04,25.08
"539",-0.84,28.2
"540",20.52,30.96
"541",-3.48,37.2
"542",-3.84,40.44
"543",-16.32,11.88
"544",13.56,27.24
"545",-2.52,25.92
"546",-4.92,26.04
"547",14.52,14.52
"548",18.6,23.52
"549",7.32,21.96
"550",-1.8,14.4
"551",-10.2,11.76
"552",-8.4,26.52
"553",9.12,22.44
"554",-8.28,1.44
"555",5.16,44.28
"556",6.48,39.48
"557",1.08,31.56
"558",-8.4,4.92
"559",-6.84,19.2
"560",8.64,48.84
"561",-0.6,29.4
"562",-3.72,21.24
"563",-12.6,20.52
"564",-8.88,33.84
"565",10.56,33.36
"566",-14.16,6.12
"567",-16.68,21.12
"568",-6.24,17.04
"569",-14.64,8.88
"570",-7.44,31.56
"571",1.92,27.36
"572",-9.48,11.16
"573",0,14.64
"574",-12.12,31.56
"575",9,46.8
"576",-7.44,38.52
"577",1.32,40.32
"578",1.68,41.28
"579",1.8,47.4
"580",-3.72,38.64
"581",-0.96,47.28
"582",-6.12,32.16
"583",18.72,52.44
"584",13.56,41.04
"585",-5.64,33.84
"586",3.12,43.32
"587",-1.2,43.44
"588",-5.28,21.12
"589",-1.32,23.88
